Rank,Country name,Ladder score,Logged GDP per capita,Healthy life expectancy,Generosity
132,Egypt,4.283,9.367,61.998,-0.182
133,Ethiopia,4.275,7.694,59,0.082
134,Mauritania,4.227,8.542,57.161,-0.106
135,Madagascar,4.208,7.396,59.305,-0.005
136,Togo,4.107,7.362,54.914,0.032
137,Zambia,4.073,8.145,55.809,0.061
138,Sierra Leone,3.849,7.434,51.651,0.084
139,India,3.819,8.755,60.633,0.089
140,Burundi,3.775,6.635,53.4,-0.024
141,Yemen,3.658,7.578,57.122,-0.147
142,Tanzania,3.623,7.876,57.999,0.183
143,Haiti,3.615,7.477,55.7,0.422
144,Malawi,3.6,6.958,57.948,0.038
145,Lesotho,3.512,7.926,48.7,-0.131
146,Botswana,3.467,9.782,59.269,-0.246
147,Rwanda,3.415,7.676,61.4,0.061
148,Zimbabwe,3.145,7.943,56.201,-0.047
149,Afghanistan,2.523,7.695,52.493,-0.102
